id,spare_code,spare_category,spare_name_th,spare_name_en,spare_description,spare_location,spare_brand,spare_model,spare_dealer,spare_price,spare_pic,spare_amount,spare_min,spare_install_date,spare_start_work,spare_stop_work,note,status
1,AC-01,,เครื่องปรับอากาศ ออฟฟิตด้านหน้า 1,Air Conditioner Office Front,,Air Conditioner,,,,,engine.png,,,,,,,Active
2,AC-02,,เครื่องปรับอากาศ ออฟฟิตด้านหน้า 2,Air Conditioner Office Front,,Air Conditioner,,,,,engine.png,,,,,,,Active
3,AC-03,,เครื่องปรับอากาศ ออฟฟิตด้านหน้า 3,Air Conditioner Front,,Air Conditioner,,,,,engine.png,,,,,,,Active
4,AC-04,,เครื่องปรับอากาศ ห้องแลบ 1,Air Condition Lab 1,,Air Conditioner,,,,,engine.png,,,,,,,Active
5,AC-05,,เครื่องปรับอากาศ ห้องแลบ 2,Air Condition Lab 2,,Air Conditioner,,,,,engine.png,,,,,,,Active
6,AC-06,,เครื่องปรับอากาศ ห้องประชุม,Air Condition Meeting Room,,Air Conditioner,,,,,engine.png,,,,,,,Active
7,AC-07,,เครื่องปรับอากาศ ตาชั่ง,Air Condition Scales,,Air Conditioner,,,,,engine.png,,,,,,,Active
8,AC-08,,เครื่องปรับอากาศ ห้องServer 1,Air Condition Server 1,,Air Conditioner,,,,,engine.png,,,,,,,Active
9,AC-09,,เครื่องปรับอากาศ ห้องจัดซื้อปาล์ม,Air Condition Purchase Palm,,Air Conditioner,,,,,engine.png,,,,,,,Active
10,AC-10,,เครื่องปรับอากาศ ห้องประเมิน,Air Condition assessmsnt,,Air Conditioner,,,,,engine.png,,,,,,,Active
11,AC-11,,เครื่องปรับอากาศ ห้องสโตร์,Air Conditioner Store Room,,Air Conditioner,,,,,engine.png,,,,,,,Active
12,AC-12,,เครื่องปรับอากาศ ออฟฟิตโรงงานด้านล่าง,Air Conditioner Office Factory Below,,Air Conditioner,,,,,engine.png,,,,,,,Active
13,AC-13,,เครื่องปรับอากาศ ออฟฟิตโรงงานด้านบน,Air Conditioner Office Factory Above 1,,Air Conditioner,,,,,engine.png,,,,,,,Active
14,AC-14,,เครื่องปรับอากาศ ออฟฟิตโรงงานด้านบน,Air Conditioner Office Factory Above 2,,Air Conditioner,,,,,engine.png,,,,,,,Active
15,AC-15,,เครื่องปรับอากาศ ห้องControl หม้อนึ่ง,Air Conditioner Control Sterilizing,,Air Conditioner,,,,,engine.png,,,,,,,Active
16,AC-16,,เครื่องปรับอากาศ ห้องControl เมล็ดใน,Air Conditioner Control Kernal,,Air Conditioner,,,,,engine.png,,,,,,,Active
17,AC-17,,เครื่องปรับอากาศ ห้องControl Boiler,Air Conditioner Control Boiler,,Air Conditioner,,,,,engine.png,,,,,,,Active
18,AC-18,,เครื่องปรับอากาศ ห้องControl สกรูเพลส,Air Conditioner Control Screw Press,,Air Conditioner,,,,,engine.png,,,,,,,Active
19,AC-19,,เครื่องปรับอากาศ ห้องControl ไฟ,Air Conditioner Control Fire Room,,Air Conditioner,,,,,engine.png,,,,,,,Active
20,AC-20,,เครื่องปรับอากาศ Server2,Air Conditioner Server2,,Air Conditioner,,,,,engine.png,,,,,,,Active
21,AC-21,Air  Compressor,เครื่องปรับอากาศ  ห้อง Control Boiler  ตั้งโต๊ะ,Air Conditioner  Boiler,,Boiler Station,Midea,,,,engine.png,,,,,,,Active
22,BR-01,,เครื่องชั่งน้ำหนัก #1,Road Weighbridge #1,,Bunch Reception,,,หจก.สุราษฎร์เครื่องชั่ง,,engine.png,,,,2015-09-20,,,Active
23,BR-02,,เครื่องชั่งน้ำหนัก #2,Road Weighbridge #2,,Bunch Reception,,,หจก.สุราษฎร์เครื่องชั่ง,,engine.png,,,,2015-09-20,,,Active
24,BR-03,,ที่เก็บผลทะลายปาล์มสด,FFB Hoppers,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
25,BR-04,,ประตูแลมพ์ #1,Door FFB Ramp #1,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
26,BR-05,,ประตูแลมพ์ #2,Door FFB Ramp #2,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
27,BR-06,,ประตูแลมพ์ #3,Door FFB Ramp #3,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
28,BR-07,,ประตูแลมพ์ #4,Door FFB Ramp #4,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
29,BR-08,,ประตูแลมพ์ #5,Door FFB Ramp #5,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
30,BR-09,,ประตูแลมพ์ #6,Door FFB Ramp #6,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
31,BR-10,,ประตูแลมพ์ #7,Door FFB Ramp #7,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
32,BR-11,,ประตูแลมพ์ #8,Door FFB Ramp #8,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
33,BR-12,,ประตูแลมพ์ #9,Door FFB Ramp #9,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
34,BR-13,,ประตูแลมพ์ #10,Door FFB Ramp #10,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
35,BR-14,,ประตูแลมพ์ #11,Door FFB Ramp #11,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
36,BR-15,,ประตูแลมพ์ #12,Door FFB Ramp #12,,Bunch Reception,,,,,engine.png,,,,2015-09-20,,,Active
37,BR-16,,เพาเวอร์แพ็กประตูแลมพ์,Power pack For Door Ramp,,Bunch Reception,Rexroth,U1-80-1X/G2-16/4M,,,engine.png,,,,2015-09-20,,,Active
38,BS-01,Pump,ปั๊มน้ำอ่อน #1,Softener Pump #1,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
39,BS-02,Pump,ปั๊มน้ำอ่อน #2,Softener Pump #2,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
40,BS-03,,ถังน้ำเกลือ,Sodium Chloride Tank,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
41,BS-04,,ปั๊มผสมน้ำเกลือ,Sodium Chloride Mixture,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
42,BS-05,,ถังน้ำอ่อน #1,Softener Tank #1,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
43,BS-06,,ถังน้ำอ่อน #2,Softener Tank #2,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
44,BS-07,,ถังพักน้ำ,Boiler Stock Tank,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
45,BS-08,Pump,ปั๊มส่งน้ำ #1,Deaertor Feed Water Pump #1,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
46,BS-09,Pump,ปั๊มส่งน้ำ #2,Deaertor Feed Water Pump #2,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
47,BS-10,,ถังเคมี #3,Chemical Tank #3,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
48,BS-11,,ถังเคมี #4,Chemical Tank #4,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
49,BS-12,,ถังเคมี #5,Chemical Tank #5,,Boiler Station,,,,,engine.png,,,,,,,Active
50,BS-13,Pump,ปั๊มผสมเคมี #3,Chemical Mixture Pump#3,,Boiler Station,,,,,engine.png,,,,,,,Active
51,BS-14,Pump,ปั๊มผสมเคมี #4,Chemical Mixture Pump#4,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
52,BS-15,Pump,ปั้มผสมเคมี#5,Chemical Mixture Pump #5,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
53,BS-16,,ระบบกำจัดอากาศ,Thermal Deaertor System,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
54,BS-17,Pump,ปั๊มป้อนน้ำเข้าหม้อต้มไอ#1,Electric Feed Boiler Pump #1,,Boiler Station,Speck pumpen,es5008,,,engine.png,,,,2015-09-20,,,Active
55,BS-18,Pump,ปั๊มป้อนน้ำเข้าหม้อต้มไอ#2,Electric Feed Boiler Pump #2,,Boiler Station,Speck pumpen,es5008,,,engine.png,,,,2015-09-20,,,Active
56,BS-19,Chain Conveyor,ลางลำเลียงเส้นใย #1,Fuel Conveyor #1,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
57,BS-20,Chain Conveyor,ลางลำเลียงเส้นใย #2,Fuel Conveyor #2,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
58,BS-21,Screw Conveyor,ลางลำเลียงเส้นใย #3,Fuel  Conveyor #3 (Screw),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
59,BS-22,,เครื่องกระจายเส้นใย,Walking Floor,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
60,BS-23,Chain Conveyor,ลางลำเลียงเส้นใย #4,Fuel Conveyor #4,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
61,BS-24,Chain Conveyor,ลางขนย้ายเส้นใย,Fuel Transfer Conveyor,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
62,BS-25,,เครื่องแบ่งปริมาณเส้นใย,Pendulum,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
63,BS-26,,เครื่องแบ่งลม,Puffing,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
64,BS-27,Boiler,หม้อน้ำ,Boiler,,Boiler Station,Doilermech,,,,engine.png,,,,2015-09-20,,,Active
65,BS-28,,ปล่องเก็บเสียง,Boiler Silencer,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
66,BS-29,Blower,พัดลมป้อนใย,F.F.  Fan (Fuel Feeder Fan),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
67,BS-30,Blower,พัดลมอัดอากาศ,S. A. Fan  (Secondary Air  Fan),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
68,BS-31,Blower,พัดลมดูดควัน,I.D. Fan (Induced Draft Fan),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
69,BS-32,Blower,พัดลมเป่าใต้ตะกรับ,F.D. Fan (Forced Draft Fan),,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
70,BS-33,,เครื่องกันลมขี้เถ้า #1,Air Lock Ash #1,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
71,BS-34,,เครื่องกันลมขี้เถ้า #2,Air Lock Ash #2,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
72,BS-35,Screw Conveyor,สกรูลำเลียงขี้เถ้า #1,Ash Conveyor #1,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
73,BS-36,Screw Conveyor,สกรูลำเลียงขี้เถ้า #2,Ash Conveyor #2,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
74,BS-37,,ปล่องควัน,Chimney,,Boiler Station,,,,,engine.png,,,,2015-09-20,,,Active
75,BS-38,,ปั๊มลม #3,Air Compresser#3,,Boiler Station,,,,,engine.png,,,,,,,Active
76,BS-39,Chain Conveyor,รางลำเลียงเส้นใย5,Fuel #5,,Boiler Station,,,,,engine.png,,,,,,,Active
77,BS-40,,Bunner,Bunner,,Boiler Station,,,,,engine.png,,,,,,,Active
78,BS-41,Boiler,เครื่องอุ่นน้ำร้อน1,Economizer 1,,Boiler Station,,,,,engine.png,,,2018-12-06,2020-01-29,,,Active
